江苏卫视,#genre#
*CINEMAX(HD),http://58.99.33.2:1935/liveedge2/foNmEJqW_71_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=9000234&as=2015&dr=&mmmm=
*CINEMAX6,mitv://198.255.74.57:12196/5efcb9c4000e98bf95376521c029e488.ts
Cinemax,http://mszb198610.5ay.xyz/mszbgzgdtvcm000.php?id=cinemax
*CINEMAX,http://t.gerss.cn/dl/htv.php?id=71

東森洋片,#genre#
《東森洋片HD》,mitv://198.255.74.57:12196/5f0e0ca8000e1511d8e32f9fc3e7998c.ts
*東森洋片台,mitv://198.255.74.57:12196/5f0601d0000ab092b978d301baff2eac.ts
*东森洋片,p5p://47.244.180.114:9906/5db94609000c575753d44633704f1724&link=am0708lgif
*東森洋片,mitv://198.255.74.57:12196/5efcb9af00047c529537108249281ad2.ts
東森洋片1,http://125.227.210.37:41320/VideoInput/play.ts
東森洋片2,http://192.154.103.75:8080/ZZ_dongsenyangpian/ZZ_dongsenyangpian.m3u8
東森洋片3,http://104.250.154.42:8080/ZZ_dongsenyangpian/ZZ_dongsenyangpian.m3u8
*东森洋片1,mitv://198.255.74.57:12396/5e50207a000ef5883d32e7001d1666d4.ts
*东森洋片HD1,P2p://sdgdklwos.finetv.tv:9906/59fd17860002b83302705f6a03a560d2
*东森洋片 HD,P2p://lino.homeunix.com:6007/59fd17860002b83302705f6a03a560d2.ts
東森洋片台1,http://tv.kksyw.top/tv_157/gat/hatv.php?id=66
*東森洋片4,mitv://51.79.41.138:18912/5b14092300021ad1076b0d328d567031.ts
*东森洋片2,P2p://190.2.149.54:18912/5b14092300021ad1076b0d328d567031.ts
*东森洋片3,mitv://190.2.149.54:18912/5b14092300021ad1076b0d328d567031.ts
*东森洋片4,mitv://sdgdklwos.finetv.tv:9906/59fd17860002b83302705f6a03a560d2
*東森洋片台(HD),http://58.99.33.2:1935/liveedge2/foNmEJqW_66_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=9000234&as=2015
*东森洋片5,mitv://198.255.74.57:12396/5e50207a000ef5883d32e7001d1666d4.ts
*東森洋片5,http://t.gerss.cn/dl/htv.php?id=66

HBO,#genre#
HBO,http://t.gerss.cn/dl/htv.php?id=65
HBO1,http://tv.kksyw.top/tv_157/gat/hatv.php?id=65
HBO Asia[480*320],http://220.158.149.14:9999/live/TV00000000000000000166@HHZT;LIVE
HBO 亚洲频道[720*576],http://106.54.30.243/gz009/gz.php?id=hbo
*HBO2,mitv://51.79.41.138:18912/5b140969000be13c0cfc86fe60fae30e.ts
*HBO3,mitv://190.2.146.92:18912/5b140969000be13c0cfc86fe60fae30e.ts
*HBO4,P2p://190.2.149.54:18912/5c7249dd000ca2101d58106551ff3ed4.ts
*HBO5,mitv://190.2.149.54:18912/5c7249dd000ca2101d58106551ff3ed4.ts
*HBO6,mitv://sdgdklwos.finetv.tv:9906/59fd1566000391610268129978510d8e
*HBO7,http://161.0.157.5/PLTV/88888888/224/3221227026/03.m3u8？fluxustv.m3u8
*HBO8,http://tx.pull.yximgs.com/live/twhbo_MTU5NDQyNDQwNQ.flv?txSecret=d8f4991ce9b0a207153a355cc8df3a7b&txTime=5F0901C8
*HBO9,http://154.90.1.188/bkplay.php?id=116
HBO10,vjms://122.155.180.8:8500:5021/live/cid=261

Star Movies HD,#genre#
《Star Movies HD》,mitv://198.255.74.57:12196/5f0e0cd20005bf52d8e3d18d24e3b406.ts
*Star Movies HD1 HD,http://125.227.210.37:61495/VideoInput/play.ts
*Star Movies HD2,mitv://198.255.74.57:12196/5f0601e7000240ccb9792ab006a807bb.ts
Star Movie,http://106.54.30.243/gz009/gz.php?id=wsgjdy

CatchPlay电影,#genre#
*CatchPlay,mitv://198.255.74.57:12196/5f0e0c870005b184d8e2ac92a988a7ae.ts
*CatchPlay电影,p5p://47.244.180.114:9906/5db9438e000daad953ca9619316a37eb&link=am0708lgif
*CatchPlay HD,mitv://198.255.74.57:12196/5f0601bd0006092db97887982c7f7764.ts
*CatchPlay HD1,mitv://198.255.74.57:12396/5e50205d0008e4233d32742bdbc7c64c.ts
*CATCHPLAY電影台,mitv://51.79.41.138:18912/5b1409db000126a9933e38ed4496938e.ts
*CatchPlay HD2,mitv://198.255.74.57:12196/5efcb9a000069fb19536d677884eea7f.ts

探索亞洲,#genre#
*探索亞洲,http://t.gerss.cn/dl/htv.php?id=200
Discovery Asia,http://125.227.210.37:20617/VideoInput/play.ts
*Discovery CHANNEL,p5p://47.244.180.114:9906/5db945f300019cc253d3ed8422870a1f&link=am0708lgif
*Discovery Asia(HD),http://58.99.33.2:1935/liveedge2/foNmEJqW_200_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=9000234&as=2015&dr=&mmmm=
*Discovery Asia1,http://185.93.2.35:12012/live/359111068247FFA1/CNcv2pqS0BwUC_Q1gUDvOUIubt0R5I-Tvta_hXWmX1Gb_SWY2tR3xQuKW2aR7wrP/675E9DF285B14D57/803391.ts

LTV龍華洋片,#genre#
*龙华洋片,p5p://47.244.180.114:9906/5db9461600030af853d476994e892955&link=am0708lgif
*龍華洋片,mitv://198.255.74.57:12196/5efcb9b20003b4ad95371c071f5b1c8b.ts
*龍華洋片1,mitv://198.255.74.57:12196/5f0601d4000af2a8b978e2b2802a4297.ts
*龙华洋片1,mitv://198.255.74.57:12396/5e502078000adff03d32de257a612512.ts
*龙华洋片HD,P2p://sdgdklwos.finetv.tv:9906/59fd07650001a79102315e34781149f3
*龙华洋片 HD,P2p://lino.homeunix.com:6007/59fd07650001a79102315e34781149f3.ts
